year,nh_no_feedback,sh_no_feedback,nh_with_feedback,sh_with_feedback
2117,2.0594264313188644,1.9519887747142373,2.2698428507610666,2.144842611361722
2118,2.06052090026982,1.9532593294415554,2.2711896964871627,2.1463749973157302
2119,2.061612976236129,1.9545272290617857,2.272533704482518,2.147904310501494
2120,2.0627026644509243,1.955792479130998,2.273874880731974,2.1494305571137438
2121,2.06378997013569,1.9570550851922555,2.2752132312066613,2.150953743329161
2122,2.064874898500328,1.9583150527758884,2.276548761864235,2.1524738753073636
2123,2.065957454743216,1.9595723873997333,2.277881478649064,2.1539909591917192
2124,2.0670376440512572,1.960827094569325,2.2792113874923996,2.155505001110031
2125,2.0681154715999313,1.962079179778068,2.280538494312508,2.157016007175119
2126,2.069190942553331,1.963328648507371,2.2818628050147938,2.158523983485296
2127,2.0702640620642057,1.9645755062267671,2.283184325491888,2.1600289361247804
2128,2.0713348352739938,1.9658197583940127,2.2845030616237447,2.1615308711640298
2129,2.0724032673128576,1.9670614104551774,2.2858190192777195,2.1630297946600354
2130,2.073469363299717,1.968300467844721,2.2871322043086253,2.1645257126565647
2131,2.0745331283422734,1.9695369359855543,2.2884426225587937,2.1660186311843646
2132,2.0755945675370433,1.970770820289104,2.289750279858135,2.167508556261349
2133,2.0766536859693896,1.9720021261553602,2.2910551820241776,2.1689954938927394
2134,2.0777104887135387,1.9732308589729226,2.2923573348621162,2.1704794500711952
2135,2.078764980832619,1.97445702411905,2.2936567441648505,2.1719604307769327
2136,2.0798171673786796,1.9756806269596912,2.2949534157130254,2.173438441977822
2137,2.080867053392716,1.9769016728495252,2.296247355275061,2.1749134896294593
2138,2.0819146439046987,1.9781201671319952,2.2975385686071914,2.1763855796752574
2139,2.0829599439335977,1.979336115139341,2.298827061453494,2.177854718046502
2140,2.0840029584874054,1.9805495221926281,2.30011283954592,2.1793209106624163
2141,2.0850436925631604,1.9817603936017751,2.3013959086043254,2.180784163430208
2142,2.086082151146977,1.9829687346655858,2.3026762743364997,2.1822444822451246
2143,2.087118339214065,1.984174550671772,2.3039539424381954,2.1837018729904942
2144,2.0881522617287525,1.9853778468969838,2.305228918593155,2.1851563415377577
2145,2.0891839236445144,1.986578628606832,2.3065012084731364,2.1866078937465234
2146,2.0902133299039956,1.987776901055914,2.3077708177379366,2.1880565354645882
2147,2.0912404854390334,1.9889726694878407,2.3090377520354286,2.18950227252798
2148,2.0922653951706787,1.990165939135257,2.3103020170015753,2.1909451107609836
2149,2.093288064009227,1.9913567152198717,2.311563618260468,2.192385055976172
2150,2.094308496854233,1.9925450029524732,2.3128225614243463,2.1938221139744347
2151,2.0953266985945405,1.9937308075329587,2.3140788520936124,2.195256290545007
2152,2.096342674108305,1.9949141341503602,2.3153324958568753,2.1966875914654995
2153,2.097356428263014,1.9960949879828582,2.3165834982909663,2.1981160225019196
2154,2.0983679659155134,1.9972733741978148,2.3178318649609655,2.1995415894087045
2155,2.0993772919120297,1.9984492979517894,2.319077601420224,2.200964297928737
2156,2.100384411088194,1.9996227643905669,2.3203207132103967,2.202384153793381
2157,2.1013893282690654,2.0007937786491756,2.321561205861456,2.2038011627224963
2158,2.1023920482691505,2.001962345851916,2.322799084891726,2.2052153304244704
2159,2.103392575892431,2.0031284711123747,2.3240343558079024,2.206626662596237
2160,2.104390915932385,2.004292159533458,2.325267024105081,2.2080351649233054
2161,2.105387073172011,2.005453416207403,2.3264970952667747,2.209440843079781
2162,2.1063810523838487,2.006612246215807,2.3277245747649458,2.210843702728387
2163,2.107372858330001,2.0077686546296487,2.3289494680600273,2.2122437495204905
2164,2.108362495762161,2.0089226465093093,2.33017178060095,2.2136409890961293
2165,2.109349969421633,2.010074226904595,2.3313915178251587,2.215035427084022
2166,2.110335284039352,2.011223400854759,2.332608685158646,2.2164270691016075
2167,2.1113184443359136,2.0123701733885255,2.333823288015971,2.2178159207550583
2168,2.112299455021588,2.0135145495241082,2.3350353318002797,2.2192019876393023
2169,2.11327832079635,2.014656534269235,2.3362448219033416,2.2205852753380495
2170,2.1142550463498955,2.0157961326211677,2.3374517637055625,2.221965789423812
2171,2.1152296363616663,2.0169333495667296,2.3386561625760147,2.223343535457932
2172,2.1162020955008765,2.0180681900823174,2.3398580238724564,2.224718518990596
2173,2.1171724284265276,2.019200659133934,2.3410573529413528,2.2260907455608647
2174,2.1181406397874376,2.0203307616772,2.3422541551179137,2.2274602206966927
2175,2.119106734222258,2.0214585026573832,2.343448435726102,2.228826949914945
2176,2.1200707163595,2.0225838870094166,2.344640200078664,2.230190938721431
2177,2.121032590817552,2.0237069196579207,2.345829453477154,2.231552192610914
2178,2.1219923622047077,2.0248276055172254,2.347016201211955,2.232910717067147
2179,2.1229500351191835,2.0259459494913896,2.3482004485623023,2.2342665175628786
2180,2.12390561414914,2.0270619564742267,2.3493822007963114,2.2356195995598895
2181,2.124859103872711,2.0281756313493218,2.3505614631709983,2.23696996850901
2182,2.1258105088580206,2.0292869789900543,2.351738240932299,2.238317629850139
2183,2.1267598336631988,2.030396004259623,2.352912539315101,2.2396625890122666
2184,2.127707082836416,2.0315027120110587,2.354084363543259,2.241004851413501
2185,2.1286522609158904,2.0326071070872573,2.355253718829622,2.2423444224610827
2186,2.1295953724299275,2.033709194320991,2.356420610376058,2.2436813075514115
2187,2.1305364218969265,2.0348089785349313,2.3575850433734757,2.2450155120700663
2188,2.131475413825408,2.0359064645416742,2.358747023001845,2.2463470413918287
2189,2.132412352714034,2.037001657143759,2.3599065544302227,2.2476759008807026
2190,2.1333472430516354,2.03809456113369,2.36106364281677,2.2490020958899377
2191,2.134280089317222,2.0391851812939525,2.362218293308786,2.2503256317620495
2192,2.135210895980015,2.040273522397043,2.363370511042727,2.2516465138288404
2193,2.1361396674994615,2.041359589205481,2.3645203011442195,2.2529647474114207
2194,2.1370664083252593,2.042443386471837,2.365667668728096,2.2542803378202354
2195,2.1379911228973776,2.0435249189387488,2.3668126188984147,2.2555932903550815
2196,2.138913815646078,2.0446041913389417,2.3679551567484713,2.2569036103051237
2197,2.1398344909919347,2.045681208395253,2.369095287360837,2.258211302948922
2198,2.140753153345858,2.046755974820651,2.370233015807374,2.259516373554461
2199,2.1416698071091154,2.047828495318255,2.3713683471492573,2.2608188273791563
2200,2.1425844566733443,2.0488987745813567,2.372501286436997,2.262118669669879
