year,nh_land,nh_ocean,deep_nh,sh_land,sh_ocean,deep_sh,nh,sh
1982,0.6905915737811233,0.37899831820321755,-0.48182113385989334,0.6970308003943982,0.39143916737923157,-0.28617545558885116,0.5017660609009125,0.4495015776521133
1983,0.7326067296040404,0.4200041556307965,-0.4791664666374154,0.737208653340791,0.4288761216822777,-0.28407797316307365,0.5431695697762546,0.48745930269739524
1984,0.7736752031701633,0.45917476030063864,-0.4763991714301019,0.7767023427857342,0.4649856196187796,-0.2818761399617068,0.5830879347912313,0.524211797020501
1985,0.8139737587723077,0.4968528484544445,-0.47352458394517044,0.8156288551457656,0.49999468266233116,-0.27957391762249467,0.6217984871196827,0.5599651754341837
1986,0.8536465923335892,0.5333179916539685,-0.47054708942295526,0.8540855637947382,0.534092271539523,-0.27717463088903277,0.659527460321739,0.594890997068014
1987,0.892811331137967,0.5687982492659842,-0.4674702976627694,0.8921535164678048,0.5674356657120162,-0.2746810743079156,0.6964594035235454,0.6291320573556161
1988,0.9315639282950148,0.6034796580197663,-0.4642971858057793,0.9299001716547851,0.6001557735764786,-0.2720956010421932,0.7327448605082142,0.6628072092113569
1989,0.969982655550131,0.6375139734055433,-0.4610302148146718,0.9673816763392787,0.6323615526076264,-0.26942019679868023,0.7685066341705109,0.6960153761166403
1990,1.0081313605423008,0.671024984958436,-0.45767142449566994,1.0046447619598045,0.6641436886292067,-0.2666565413642149,0.8038448969384787,0.7288388925620204
1991,1.0460621240123118,0.7041136681455952,-0.45422251101581096,1.0417283225837821,0.6955776583924582,-0.26380605982777094,0.8388413597570815,0.7613462845888098
1992,1.0838174275020958,0.7368623871766151,-0.45068489014019225,1.0786647285595277,0.7267262788275516,-0.26086996521720174,0.8735626730648545,0.7935945842766271
1993,1.1214319217221385,0.7693383235753904,-0.4470597488198433,1.1154809199834923,0.7576418290081213,-0.2578492939896339,0.9080632012452092,0.8256312562934418
1994,1.1589338691515854,0.8015962731430668,-0.44334808727626157,1.1521993168885065,0.788367816447589,-0.254744935573327,0.9423872859704232,0.8574958015313634
1995,1.196346320883642,0.8336809276665784,-0.4395507533333114,1.1888385768729146,0.8189404473417955,-0.25155765695805227,0.9765710925941015,0.8892210919527082
1996,1.2336880766733955,0.8656287362925513,-0.43566847042466567,1.225414225741439,0.8493898503802819,-0.24828812316391832,1.010644116402604,0.9208344816989018
1997,1.2709744681263464,0.8974694240002958,-0.43170186044188225,1.2619391824426192,0.8797410954312417,-0.2449369142794697,1.0446304113859597,0.9523587319634035
1998,1.308217997608526,0.9292272303428262,-0.4276514623735653,1.2984241960200584,0.9100150414819239,-0.24150453964409016,1.078549592645512,0.9838127808441696
1999,1.3454288594570618,0.9609219199879218,-0.4235177475109747,1.3348782093250866,0.9402290424534324,-0.23799144965336297,1.112417654138763,1.0152123841590468
2000,1.3826153651737156,0.9925696070980479,-0.4193011318526123,1.3713086617665455,0.9703975347119798,-0.23439804558580837,1.146247635779861,1.0465706488523474
2001,1.419784290289565,1.0241834278435975,-0.415001986223783,1.407721741315853,1.0005325261057672,-0.23072468778264324,1.1800501676473087,1.0778984769956836
2002,1.456941157330528,1.0557740890262206,-0.4106206445320796,1.4441225942728078,1.0306440030330477,-0.22697170245661344,1.2138339139381178,1.1092049353686022
2003,1.4940904666551673,1.0873503156351414,-0.4061574105021869,1.4805154998719634,1.0607402692803833,-0.22313938735968625,1.2476059351370317,1.1404975630927836
2004,1.531235884767715,1.1189192159549564,-0.40161256317014693,1.5169040156227414,1.0908282280672763,-0.2192280165008715,1.2813719834671833,1.1717826277028147
2005,1.568380397940193,1.15048657941351,-0.3969863613656106,1.5532910982886836,1.1209136168165093,-0.21523784407338062,1.315136743913023,1.2030653382962224
2006,1.605526437534361,1.1820571195604181,-0.3922790473685141,1.5896792045890251,1.1510012025739644,-0.21116910772365038,1.3489040308421516,1.234350022956826
2007,1.6426759822369355,1.2136346722842402,-0.3874908498922625,1.6260703750213934,1.1810949446735672,-0.20702203127254096,1.382676948405602,1.2656402764396542
2008,1.679830641461092,1.2452223575141934,-0.3826219865174916,1.6624663036347367,1.2111981301374861,-0.20279682698053136,1.4164580213892715,1.2969390831019638
2009,1.7169917233837815,1.2768227111332546,-0.377672665677623,1.6988683961074116,1.2413134863815072,-0.19849369743334416,1.4502493019599623,1.3282489192294291
2010,1.7541602904492504,1.308437792590297,-0.37264308827877685,1.735277818090628,1.271443275029531,-0.19411283711162036,1.4840524567467246,1.3595718382111395
2011,1.7913372046477174,1.3400692726879562,-0.3675334490214069,1.7716955354488977,1.301589370003519,-0.18965443369760077,1.5178688378801022,1.390909541438141
2012,1.8285231644528315,1.3717185051982435,-0.36234393747859783,1.8081223477556603,1.3317533225245548,-0.18511866916289407,1.551699540944551,1.4222634373184648
2013,1.8657187349545146,1.403386585285145,-0.35707473897585806,1.8445589161745986,1.3619364152188629,-0.1805057206740262,1.5855454522548766,1.4536346904004527
2014,1.9029243724407372,1.4350743971646145,-0.351726035308976,1.8810057866676717,1.3921397071549377,-0.17581576134631102,1.6194072874234067,1.4850242622623573
2015,1.9401404444508334,1.4667826529846328,-0.3462980053297662,1.9174634093131746,1.4223640713318435,-0.1710489608714659,1.6532856228223158,1.5164329455482966
2016,1.977367246134596,1.4985119245427816,-0.3407908254240469,1.9539321543858243,1.45261022588397,-0.1662054860401344,1.6871809212499564,1.5478613922993225
2017,2.0146050135976816,1.5302626691607784,-0.33520466990170267,1.9904123257416024,1.4828787600554325,-0.16128550117693005,1.7210935528689184,1.579310137535805
2018,2.0518539347885207,1.562035250792391,-0.32953971131502235,2.0269041719591123,1.5131701558208064,-0.15628916850266478,1.755023812286866,1.6107796188870847
2019,2.089114158379629,1.5938299572428236,-0.32379612071852926,2.0634078956134854,1.5434848058819133,-0.15121664843596422,1.7889719324907247,1.642270192930912
2020,2.1263858010127854,1.6256470142159274,-0.31797406788108096,2.099923660995845,1.5738230286480863,-0.14606809984443245,1.8229380962138895,1.6737821487941607
2021,2.163668953209495,1.657486596773594,-0.31207372145903006,2.1364516005388774,1.6041850807055225,-0.14084368025381924,1.8569224452093387,1.70531571947386
2022,2.2009636841925997,1.6893488386840763,-0.30609524913761843,2.1729918201653673,1.6345711671965646,-0.1355435460222306,1.8909250878144346,1.736871091260637
2023,2.238270045819649,1.721233840048124,-0.3000388177464608,2.209544403740245,1.6649814504592688,-0.13016785248524104,1.924946105122105,1.7684484115826544
2024,2.2755880757916356,1.7531416735202006,-0.2939045933538846,2.2461094167763918,1.6954160572188253,-0.12471675407678398,1.958985556015146,1.8000477955347631
